<<<<<<< HEAD
﻿ジャンル,チャンネルID,チャンネル名,登録者数,グループ,過去30日再生数,トレンド動画ID,トレンド動画タイトル,トレンド投稿日,トレンド動画再生数,サムネイルURL
ゲーム,UCMJiPpN_09F0aWpQrgbc_qg,キヨ。,5340000,5万人以上,19608971,HlNpSQVOh-Y,１人で新作マリオカートワールドやって俺よりうるさい奴いんの？,2025-06-05,3646382,https://i.ytimg.com/vi/HlNpSQVOh-Y/hqdefault.jpg
ゲーム,UCX2fYWaYhi7J1yMaK0M8Amw,ちろぴの,1660000,5万人以上,7130237,_wfP0NNTdyA,大流行中の「トゥントゥントゥンサフール」がいる世界でマインクラフト😀【 マイクラ / Minecraft 】,2025-06-05,1364914,https://i.ytimg.com/vi/_wfP0NNTdyA/hqdefault.jpg
ゲーム,UCPVr7clenPjpD7WNsSI3UBQ,レトルト,2570000,5万人以上,5460984,pgkeXdacg04,【4人】switch2に出る新作ソフトのタイトル名全部当てる男たち,2025-05-29,770730,https://i.ytimg.com/vi/pgkeXdacg04/hqdefault.jpg
ゲーム,UCWcEgYIOqq1BVr4Qm1sPuVg,あまり驚かないガッチマンはホラーゲームばかりやっている,1980000,5万人以上,5277989,Li-dnHHT7NU,【R.E.P.O.】 知識を得た今ならこのメンバーでも行ける！！,2025-06-19,980531,https://i.ytimg.com/vi/Li-dnHHT7NU/hqdefault.jpg
ゲーム,UCzXjPL7zo0bxhOYDxLJ9YEg,ポッキー,3710000,5万人以上,4787811,cfkb-C7aONE,世界で大流行中の「違法薬物を作って、売って、成り上がる危険なゲーム」【Schedule I】,2025-05-31,478284,https://i.ytimg.com/vi/cfkb-C7aONE/hqdefault.jpg
ゲーム,UCL9KXuGkAt5qCfUlMrJayMQ,石川典行チャンネル,781000,5万人以上,4709662,wnQ9bLyMOlQ,中川翔子のSwitch２炎上案件と過去の虚言癖エピソードについて語ろう,2025-06-18,263477,https://i.ytimg.com/vi/wnQ9bLyMOlQ/hqdefault.jpg
ゲーム,UCwhoGYcjo1hOH7xt7qwt3BQ,トマトちゃん / ゲーム総合,80400,5万人以上,4308391,NthlSRgfoKk,【エルデンリング ナイトレイン】リブラ戦の前に〇〇すると・・・簡単撃破！！【小ネタ・解説・攻略・検証】,2025-06-06,197335,https://i.ytimg.com/vi/NthlSRgfoKk/hqdefault.jpg
ゲーム,UCDn8Lqf-x0zD8hmFUg08f6w,狩野英孝【公式チャンネル】EIKO!GO!!,2400000,5万人以上,3806155,QtUgECUaMU0,EIKOがヤバい不審者を通報しまくるゲームに挑戦！！,2025-06-07,447652,https://i.ytimg.com/vi/QtUgECUaMU0/hqdefault.jpg
ゲーム,UCmGy9sXv0bVtzqFh9Zjtmqw,92,183000,5万人以上,3705143,HYPpUmvCgDQ,【界王拳&復活ベジータ参戦】レジェンズ最強キャラランキング【ドラゴンボールレジェンズ】【DRAGONBALL LEGENDS】【ゲーム実況】【7周年】,2025-06-21,135397,https://i.ytimg.com/vi/HYPpUmvCgDQ/hqdefault.jpg
ゲーム,UCIYaPLvP0y2LbSYk7QbRSmQ,ボドカ / Riddle - ゲーム実況,884000,5万人以上,3490677,zZpTABnZmpU,1年半ぶりに話すRasに思わずニッコニコになるボドカ【VALORANT】,2025-06-14,409864,https://i.ytimg.com/vi/zZpTABnZmpU/hqdefault.jpg
ゲーム,UCEIMvzf3R9d3_2A3IAajvHg,赤髪のとものゲーム実況チャンネル!!,2100000,5万人以上,3230199,uBS7GrN8PSY,#MADTOWN グラセフストリーマー鯖で生活するの巻1日目【赤髪のとも】,2025-06-01,270244,https://i.ytimg.com/vi/uBS7GrN8PSY/hqdefault.jpg
ゲーム,UCeHMI9HfINaDivZWhxodMeA,ピアソン 唯のん,367000,5万人以上,3075874,w-MALTZFIcM,【第五人格IJL】夏のプロリーグday６！今季の最強チームAXIZvsRCの対戦を見るぞ！【唯/公認ミラー配信】,2025-06-15,156690,https://i.ytimg.com/vi/w-MALTZFIcM/hqdefault.jpg
ゲーム,UCIhzVbsULDkuJ0VvAeMpP-Q,夜のチャンネルがーどまん,1280000,5万人以上,3002682,SAnfO57rhwU,1週間かけて作った家に火つけてみたドッキリ【マイクラ復活】,2025-05-31,364244,https://i.ytimg.com/vi/SAnfO57rhwU/hqdefault.jpg
ゲーム,UC3zvpj9UofluXwD33vAkTDw,mkのゲーム実況ch,641000,5万人以上,2700166,yESOEXtpTh0,マリカ史上最高傑作がSwitch2で発売されました!!シリーズ11年ぶりの完全新作!!Switch2で最速実況Part1【マリオカート ワールド】,2025-06-05,407451,https://i.ytimg.com/vi/yESOEXtpTh0/hqdefault.jpg
ゲーム,UCl3YbIGrWGUFoyx50-AFYig,P-Pチャンネル,630000,5万人以上,2594429,h5MoW7SEE7k,Switch2のマリカワールドきた！！！！！！！｜マリオカートワールド,2025-06-05,322852,https://i.ytimg.com/vi/h5MoW7SEE7k/hqdefault.jpg
ゲーム,UCxpj2XD8jdF9uzqouTjLtng,ネタ勢のトリュウ,102000,5万人以上,2151870,V6Zmkia6xos,【鳴潮】2.4でショアキーパー常設!?PS5廃虚修正などまさかの神アプデが！【めいちょう】逆境深塔/ルパ/シャコンヌ/,2025-06-12,101418,https://i.ytimg.com/vi/V6Zmkia6xos/hqdefault.jpg
ゲーム,UC6KnFuHBByTI20VENcsoNjg,おついちTube,909000,5万人以上,2056764,z0qmN6tsTlc,#1【遺跡だ！ジャングルだ！冒険だ！】おついちの「アンチャーテッド トレジャーハンターコレクション」【2BRO.】,2025-06-15,125401,https://i.ytimg.com/vi/z0qmN6tsTlc/hqdefault.jpg
ゲーム,UCZTI426EI_qkQnKzuwfUYkQ,ここちゃんファミリーちゃんねる,110000,5万人以上,1991319,7VIWfsw5AbM,すべり台にカブトムシ⁉️踏まないように気をつけて遊ぼうね〜😖💦,2025-05-29,531802,https://i.ytimg.com/vi/7VIWfsw5AbM/hqdefault.jpg
ゲーム,UCUW6U6iOrntB0jw6-AbQo8g,RED Games,200000,5万人以上,1888754,AuzmK1WtdHQ,新超フェス天叢雲剣ボルサリーノガチ評価‼️光の速度でKOしていく黄猿がヤバすぎるw【バウンティラッシュ】,2025-06-17,165459,https://i.ytimg.com/vi/AuzmK1WtdHQ/hqdefault.jpg
ゲーム,UC8bERoOgLnuxltdYKqKUcpA,【 ぴこみんず 】,453000,5万人以上,1864417,GeOKxDe3guM,【大ピンチマイクラ】赤ちゃん子供の初めてのお留守番(#ぴこみんず)セキュリティハウスでキケンな来客者.不審者.訪問者から守れ⚠️,2025-06-10,303505,https://i.ytimg.com/vi/GeOKxDe3guM/hqdefault.jpg
ゲーム,UCJHRzcwgXM8kGY44mW3ZkFQ,ジャケうさ,49400,5万人未満,3557842,Z931hLdDlsE,夕方のジャケうさゲーム配信だよ！クレーンゲーム✨✨,2025-06-26,320486,https://i.ytimg.com/vi/Z931hLdDlsE/hqdefault.jpg
ゲーム,UCpzTe9KuyufysA0ks8vLeJg,あめしこうR2🍅,29400,5万人未満,961495,P7xxDwhD1aA,【ファンタジーライフi】やると損するNG行動14選💀序盤・中盤・終盤・クリア後【switch/Steam/PS/XBOX】100時間遊んだ結果わかったこと,2025-05-29,78562,https://i.ytimg.com/vi/P7xxDwhD1aA/hqdefault.jpg
ゲーム,UCxAr80QziJFlp9nLJy8Z13w,【公認】ととクリップ【切り抜きCH】,34500,5万人未満,816266,NRBsJvNTS00,【空き巣】MADなTOWNにも現れた空き巣協会が面白過ぎたｗ【ととみっくす/渋谷ハル/神成きゅぴ/巫神こん/切り抜き】,2025-06-16,110264,https://i.ytimg.com/vi/NRBsJvNTS00/hqdefault.jpg
ゲーム,UCOpBCUBPPAaZkkYSUWwTYtQ,ゲームの攻略本,3850,5万人未満,739375,JvlYv9SD3vU,【ファンタジーライフi】経験値1.9倍装備など『効率爆上げ装備』の作り方・入手方法を全て解説！！！,2025-05-31,177821,https://i.ytimg.com/vi/JvlYv9SD3vU/hqdefault.jpg
ゲーム,UCI2sULxo7w_rThgtXQEN2dQ,アラサーぼっちOLさおり,31100,5万人未満,674445,n3Yf8Wb6VcY,【人権なし】帰宅後の足が臭すぎて部屋が地獄と化すアラサー独身OLの悲惨な夜｜Night Routine living alone in Japan VLOG,2025-06-05,321513,https://i.ytimg.com/vi/n3Yf8Wb6VcY/hqdefault.jpg
ゲーム,UCAnAvry945Mx3XTtpvac1eA,たこすけ,30700,5万人未満,667068,ThoGrEaOPRU,【メガニケ】チャ速41％まで盛ったレイヴン、もう意味が分からん存在になるｗｗｗｗｗｗ【勝利の女神：NIKKE】,2025-06-20,34620,https://i.ytimg.com/vi/ThoGrEaOPRU/hqdefault.jpg
ゲーム,UCQRvoPTzrDM8WjIE_3WfCRw,あんはるのゲーム実況チャンネル,19900,5万人未満,614184,sUdALvtMCw0,【ヒロアカUR】リロードなしチーター同士を戦わせたら異次元すぎたｗ【僕のヒーローアカデミアウルトラランブル】【ヒロアカウルトラランブル】,2025-06-14,43109,https://i.ytimg.com/vi/sUdALvtMCw0/hqdefault.jpg
ゲーム,UCx1XZ858PcLZAaWfRAg7r8A,ずみ【ゲーム実況】,5480,5万人未満,602854,_Qfoq-EW_QA,【ナイトレイン】絶対に行くべき地変！！ 隠れ都ノクラテオの安全＆最効率ルート【解説】【エルデンリングナイトレイン】,2025-06-10,159047,https://i.ytimg.com/vi/_Qfoq-EW_QA/hqdefault.jpg
ゲーム,UC1R5dkg2WF8-zvDlkDEMDUw,ジョニーのゲーム実況,34300,5万人未満,563437,CmHNl9gjIa4,【ステラーブレイド】新衣装大量追加！3週目フル周回必要の鬼畜難易度！【stellablade】,2025-06-12,45990,https://i.ytimg.com/vi/CmHNl9gjIa4/hqdefault.jpg
ゲーム,UC4BkylcNgiMoFvpYPpcZEEw,ダメギ黒チャンネル,39200,5万人未満,541497,MtqMCzhKXn8,【ナイトレイン】鉄板！超簡単に攻略できるルートを解説【エルデンリングナイトレイン/ELDEN RING NIGHTREIGN】,2025-06-14,49078,https://i.ytimg.com/vi/MtqMCzhKXn8/hqdefault.jpg
ゲーム,UCacAcnQr7sW2-la1dmx1gVA,ブロスタ王ダイキ様,34300,5万人未満,498044,MVCqcfIPWmI,新キャラ”カゼ”に全財産ツッパして強さを検証してみた【ブロスタ】,2025-05-29,65522,https://i.ytimg.com/vi/MVCqcfIPWmI/hqdefault.jpg
ゲーム,UC8GLhw4rRT7HCvLzCNd48Nw,うめけん,38400,5万人未満,479277,NmuLlKCZoLI,【人狼】盤面読んで普通に護衛してたら2縄増やしちゃいましたｗｗｗ,2025-06-18,36011,https://i.ytimg.com/vi/NmuLlKCZoLI/hqdefault.jpg
ゲーム,UCokbZSV3oTFz8MDyLfTA9lg,凛子切り抜きちゃんねる【公認】,5460,5万人未満,466245,-1XhoG_1hSA,【別人】凛子、7時間待ちの美容院へ行った結果...【2025/6/4】,2025-06-05,28034,https://i.ytimg.com/vi/-1XhoG_1hSA/hqdefault.jpg
ゲーム,UCs95VnamOrICwQcIiFsh-jQ,はしもとっ!!【足ゲームちゃんねる】,10300,5万人未満,458910,-hx58f0Kd94,【足青鬼】さあ一緒にエンディングまで走り抜けようぜpart5！ 足で操作して16倍速『 超高速青鬼 ブルーベリー温泉の怪異 』【超高速青鬼】#縦型配信 #shorts,2025-05-29,22762,https://i.ytimg.com/vi/-hx58f0Kd94/hqdefault.jpg
ゲーム,UCh_gdh-7woSmAOVjQYdRF4g,かずみんゲームちゃんねる,49500,5万人未満,446214,PqhOCmF9Z70,スイカゲームをゲーム実況 #1416,2025-06-22,16856,https://i.ytimg.com/vi/PqhOCmF9Z70/hqdefault.jpg
ゲーム,UCBTH12eSM4RXhVn41MgcnHw,羽山太洋 game ch。,9190,5万人未満,431507,SlO4Fb2ZlyU,【ナイトレイン】隠し仕様が最強！？執行者の使い方とソロクリア手順やコツを解説！弾きが楽しい万能キャラ！【エルデンリング ELDEN RING NIGHTREIGN Executor Solo】,2025-06-03,98853,https://i.ytimg.com/vi/SlO4Fb2ZlyU/hqdefault.jpg
ゲーム,UCX-v20Z1bCOukjqLNlPFYrA,ろっくすげーむ【毎日投稿】,4080,5万人未満,340266,adAdD0o9olw,【翻訳】全42種類ペット図鑑作りました。ペットの能力を覚えよう【庭を成長させる】【ROBLOX】,2025-05-30,53800,https://i.ytimg.com/vi/adAdD0o9olw/hqdefault.jpg
ゲーム,UC9ZH4_DP_kZ1ayviSMHwG1A,S極N極GAMES,22100,5万人未満,330084,JEUMYB18QiE,ぷにぷにスコアタ&ワイポ稼ぎ！ #縦型配信 #ゲーム実況 #ぷにぷに #Shorts,2025-06-24,42319,https://i.ytimg.com/vi/JEUMYB18QiE/hqdefault.jpg
ゲーム,UCZe0FTUbrKInwTWD8UNzkQg,つばさチャンネル【雑談系ゲーム配信者】,14000,5万人未満,330058,KR7OrpstB1U,🔴【世界記録チャレンジ】世界２位が世界記録を目指す‼️@5 #スイカゲーム #お金ゲーム,2025-06-22,44418,https://i.ytimg.com/vi/KR7OrpstB1U/hqdefault.jpg
ゲーム,UC1q5B0fig27cIcEZcgydMMA,ソエモノ,7300,5万人未満,317129,TsEpVhs29Vw,【スーパーマリオ64】スーパー英語禁止マリオ64【13日目】#shorts,2025-05-31,63737,https://i.ytimg.com/vi/TsEpVhs29Vw/hqdefault.jpg
=======
﻿ジャンル,チャンネルID,チャンネル名,登録者数,グループ,過去30日再生数,動画ID,動画タイトル,再生数(3日間),投稿日,サムネイルURL
アニメ,UCSlJ_3RSF5BjEpkRPMtsqMw,GameRush,63300,5万人以上,5561816,6ORCZiVcGvk,BRAINROT: Anime Opening Original Vs FAT Vs BABY Vs Bodybuilder,2780908,2025-06-20,https://i.ytimg.com/vi/6ORCZiVcGvk/hqdefault.jpg
